dummylink	1	subtheorems	1	0	1	1	1
idi	1	subtheorems	1	0	1	1	1
mp2	5	subtheorems	5	0	5	5	1
mp2b	5	subtheorems	5	0	5	5	1
a1i	3	subtheorems	3	0	3	3	1
mp1i	4	subtheorems	7	0	5	5	2
a2i	3	subtheorems	3	0	3	3	1
imim2i	3	subtheorems	9	0	5	5	2
mpd	4	subtheorems	7	0	5	5	2
syl	4	subtheorems	14	0	7	7	3
mpi	4	subtheorems	14	0	7	7	3
mp2ALT	5	subtheorems	19	0	9	9	4
3syl	5	subtheorems	19	1	12	13	4
4syl	6	subtheorems	25	1	14	19	5
id	3	subtheorems	10	0	5	5	3
id1	5	subtheorems	5	0	5	5	1
idd	2	subtheorems	15	0	7	7	4
a1d	3	subtheorems	17	0	7	7	4
a2d	3	subtheorems	17	0	7	7	4
a1ii	3	subtheorems	6	1	6	5	2
a1iiALT	3	subtheorems	20	1	10	9	5
sylcom	4	subtheorems	18	1	10	9	4
syl5com	4	subtheorems	25	2	15	15	5
com12	3	subtheorems	31	3	20	19	6
syl5	4	subtheorems	35	4	25	33	7
syl6	4	subtheorems	22	2	13	11	5
syl56	5	subtheorems	44	6	33	43	8
syl6com	4	subtheorems	39	5	28	29	7
mpcom	4	subtheorems	35	3	22	23	7
syli	4	subtheorems	35	4	25	27	7
syl2im	5	subtheorems	40	4	27	39	8
pm2.27	2	subtheorems	33	4	21	23	7
mpdd	4	subtheorems	21	1	12	11	5
mpid	4	subtheorems	28	2	17	17	6
mpdi	4	subtheorems	25	2	15	13	6
mpii	4	subtheorems	29	2	16	15	7
syld	4	subtheorems	28	2	17	17	6
mp2d	5	subtheorems	33	2	19	21	7
a1dd	3	subtheorems	25	2	13	11	6
pm2.43i	3	subtheorems	13	1	10	9	4
pm2.43d	3	subtheorems	31	2	17	17	7
pm2.43a	3	subtheorems	34	2	19	21	7
pm2.43b	3	subtheorems	48	5	28	39	8
pm2.43	2	subtheorems	35	4	22	25	8
imim2d	3	subtheorems	23	1	12	13	5
